,casos_3304557,casos_est_3304557,casos_est_min_3304557,casos_est_max_3304557,p_rt1_3304557,p_inc100k_3304557,temp_min_3304557,temp_max_3304557,umid_min_3304557,pressao_min_3304557
2013-10-06,63,63.0,63,63.0,0.44575045,0.93363553,20.571428571428573,26.571428571428573,50.42857142857143,1011.8571428571429
2013-10-13,58,58.0,58,58.0,0.31644025,0.8595375,17.285714285714285,25.857142857142858,35.714285714285715,1018.5714285714286
2013-10-20,74,74.0,74,74.0,0.85183436,1.0966513,20.571428571428573,27.285714285714285,51.42857142857143,879.7142857142857
2013-10-27,78,78.0,78,78.0,0.87961376,1.1559297,22.714285714285715,31.714285714285715,40.0,1010.2857142857143
2013-11-03,47,47.0,47,47.0,0.0213788,0.69652176,19.285714285714285,25.857142857142858,35.57142857142857,1014.2857142857143
2013-11-10,74,74.0,74,74.0,0.69895816,1.0966513,20.142857142857142,26.571428571428573,54.57142857142857,881.2857142857143
2013-11-17,106,106.0,106,106.0,0.9990765,1.5708789,21.571428571428573,31.571428571428573,33.285714285714285,1009.7142857142857
2013-11-24,110,110.0,110,110.0,0.9922958,1.6301574,21.285714285714285,29.0,39.142857142857146,879.8571428571429
2013-12-01,142,142.0,142,142.0,0.99812335,2.104385,22.857142857142858,28.714285714285715,54.857142857142854,1009.2857142857143
2013-12-08,117,117.0,117,117.0,0.5673661,1.7338946,22.857142857142858,31.285714285714285,40.57142857142857,1006.8571428571429
2013-12-15,74,74.0,74,74.0,0.0003017786,1.0966513,22.428571428571427,28.571428571428573,45.0,879.2857142857143
2013-12-22,85,85.0,85,85.0,0.036467485,1.259667,22.428571428571427,27.0,54.42857142857143,1007.4285714285714
2013-12-29,92,92.0,92,92.0,0.5137068,1.3634043,23.0,31.142857142857142,45.285714285714285,1007.5714285714286
2014-01-05,156,156.0,156,156.0,0.9999907,2.3118594,25.285714285714285,35.857142857142854,33.57142857142857,878.1428571428571
2014-01-12,149,149.0,149,149.0,0.9952664,2.2081223,24.142857142857142,34.57142857142857,31.571428571428573,1010.2857142857143
2014-01-19,163,163.0,163,163.0,0.9524562,2.4155967,23.142857142857142,32.142857142857146,40.0,1011.1428571428571
2014-01-26,124,124.0,124,124.0,0.06708093,1.837632,24.714285714285715,35.42857142857143,30.0,1009.2857142857143
2014-02-02,123,123.0,123,123.0,0.07512984,1.8228123,24.714285714285715,35.857142857142854,23.142857142857142,1011.5714285714286
2014-02-09,123,123.0,123,123.0,0.244732,1.8228123,25.0,36.714285714285715,20.428571428571427,1010.1428571428571
2014-02-16,125,125.0,125,125.0,0.4982961,1.8524514,24.142857142857142,34.857142857142854,26.857142857142858,1009.2857142857143
2014-02-23,71,71.0,71,71.0,0.0001616807,1.0521924,22.714285714285715,31.571428571428573,33.714285714285715,1011.8571428571429
2014-03-02,79,79.0,79,79.0,0.015804628,1.1707493,24.428571428571427,34.285714285714285,27.285714285714285,1008.5714285714286
2014-03-09,92,92.0,92,92.0,0.56327707,1.3634043,22.857142857142858,30.428571428571427,43.57142857142857,1011.0
2014-03-16,95,95.0,95,95.0,0.80812895,1.4078631,24.0,34.857142857142854,27.857142857142858,1011.0
2014-03-23,94,94.0,94,94.0,0.6643328,1.3930435,23.571428571428573,34.0,31.857142857142858,1009.4285714285714
