,casos_2312908,casos_est_2312908,casos_est_min_2312908,casos_est_max_2312908,p_rt1_2312908,p_inc100k_2312908,temp_min_2312908,temp_max_2312908,umid_min_2312908,pressao_min_2312908,casos_2300507,casos_est_2300507,casos_est_min_2300507,casos_est_max_2300507,p_rt1_2300507,p_inc100k_2300507,temp_min_2300507,temp_max_2300507,umid_min_2300507,pressao_min_2300507,casos_2305902,casos_est_2305902,casos_est_min_2305902,casos_est_max_2305902,p_rt1_2305902,p_inc100k_2305902,temp_min_2305902,temp_max_2305902,umid_min_2305902,pressao_min_2305902
2010-10-03,7,7.0,7,7,0.63697016,3.43673,24.285714285714285,29.428571428571427,54.714285714285715,1008.4285714285714,0,0.0,0,0,0.5,0.0,24.285714285714285,29.428571428571427,54.714285714285715,1008.4285714285714,0,0.0,0,0,0.0,0.0,24.285714285714285,29.428571428571427,54.714285714285715,1008.4285714285714
2010-10-10,3,3.0,3,3,0.09330531,1.4728842,23.857142857142858,29.857142857142858,50.285714285714285,1010.7142857142857,0,0.0,0,0,0.5,0.0,23.857142857142858,29.857142857142858,50.285714285714285,1010.7142857142857,0,0.0,0,0,0.0,0.0,23.857142857142858,29.857142857142858,50.285714285714285,1010.7142857142857
2010-10-17,10,10.0,10,10,0.7996036,4.909614,24.142857142857142,30.571428571428573,47.285714285714285,1009.5714285714286,0,0.0,0,0,0.5,0.0,24.142857142857142,30.571428571428573,47.285714285714285,1009.5714285714286,0,0.0,0,0,0.0,0.0,24.142857142857142,30.571428571428573,47.285714285714285,1009.5714285714286
2010-10-24,4,4.0,4,4,0.24634442,1.9638456,24.285714285714285,30.0,55.285714285714285,1008.8571428571429,0,0.0,0,0,0.5,0.0,24.285714285714285,30.0,55.285714285714285,1008.8571428571429,0,0.0,0,0,0.0,0.0,24.285714285714285,30.0,55.285714285714285,1008.8571428571429
2010-10-31,4,4.0,4,4,0.22466056,1.9638456,24.714285714285715,30.0,55.0,1007.8571428571429,0,0.0,0,0,0.5,0.0,24.714285714285715,30.0,55.0,1007.8571428571429,0,0.0,0,0,0.0,0.0,24.714285714285715,30.0,55.0,1007.8571428571429
2010-11-07,1,1.0,1,1,0.026613668,0.4909614,24.857142857142858,30.571428571428573,52.42857142857143,1008.4285714285714,0,0.0,0,0,0.5,0.0,24.857142857142858,30.571428571428573,52.42857142857143,1008.4285714285714,0,0.0,0,0,0.0,0.0,24.857142857142858,30.571428571428573,52.42857142857143,1008.4285714285714
2010-11-14,8,8.0,8,8,0.90086126,3.9276912,25.0,30.428571428571427,45.714285714285715,1007.8571428571429,0,0.0,0,0,0.5,0.0,25.0,30.428571428571427,45.714285714285715,1007.8571428571429,0,0.0,0,0,0.0,0.0,25.0,30.428571428571427,45.714285714285715,1007.8571428571429
2010-11-21,6,6.0,6,6,0.7593835,2.9457684,25.0,30.142857142857142,56.0,1007.8571428571429,0,0.0,0,0,0.5,0.0,25.0,30.142857142857142,56.0,1007.8571428571429,0,0.0,0,0,0.0,0.0,25.0,30.142857142857142,56.0,1007.8571428571429
2010-11-28,11,11.0,11,11,0.90963817,5.4005756,25.0,30.285714285714285,55.142857142857146,1006.7142857142857,0,0.0,0,0,0.5,0.0,25.0,30.285714285714285,55.142857142857146,1006.7142857142857,0,0.0,0,0,0.0,0.0,25.0,30.285714285714285,55.142857142857146,1006.7142857142857
2010-12-05,9,9.0,9,9,0.6428225,4.4186525,25.0,30.0,53.142857142857146,1007.8571428571429,0,0.0,0,0,0.5,0.0,25.0,30.0,53.142857142857146,1007.8571428571429,0,0.0,0,0,0.0,0.0,25.0,30.0,53.142857142857146,1007.8571428571429
2010-12-12,4,4.0,4,4,0.08455252,1.9638456,25.285714285714285,30.0,58.285714285714285,1007.1428571428571,0,0.0,0,0,0.5,0.0,25.285714285714285,30.0,58.285714285714285,1007.1428571428571,0,0.0,0,0,0.0,0.0,25.285714285714285,30.0,58.285714285714285,1007.1428571428571
2010-12-19,6,6.0,6,6,0.29907197,2.9457684,24.285714285714285,29.142857142857142,63.42857142857143,1006.0,0,0.0,0,0,0.5,0.0,24.285714285714285,29.142857142857142,63.42857142857143,1006.0,0,0.0,0,0,0.0,0.0,24.285714285714285,29.142857142857142,63.42857142857143,1006.0
2010-12-26,7,7.0,7,7,0.5871025,3.43673,24.857142857142858,30.142857142857142,59.57142857142857,1008.4285714285714,0,0.0,0,0,0.5,0.0,24.857142857142858,30.142857142857142,59.57142857142857,1008.4285714285714,0,0.0,0,0,0.0,0.0,24.857142857142858,30.142857142857142,59.57142857142857,1008.4285714285714
2011-01-02,16,16.0,16,16,0.9816182,7.8553824,25.0,30.142857142857142,52.57142857142857,1006.1428571428571,0,0.0,0,0,0.5,0.0,25.0,30.142857142857142,52.57142857142857,1006.1428571428571,0,0.0,0,0,0.0,0.0,25.0,30.142857142857142,52.57142857142857,1006.1428571428571
2011-01-09,12,12.0,12,12,0.7466513,5.8915367,24.0,29.571428571428573,60.57142857142857,1007.1428571428571,0,0.0,0,0,0.5,0.0,24.0,29.571428571428573,60.57142857142857,1007.1428571428571,0,0.0,0,0,0.0,0.0,24.0,29.571428571428573,60.57142857142857,1007.1428571428571
2011-01-16,19,19.0,19,19,0.8866017,9.328266,22.714285714285715,28.428571428571427,64.28571428571429,1007.2857142857143,0,0.0,0,0,0.5,0.0,22.714285714285715,28.428571428571427,64.28571428571429,1007.2857142857143,0,0.0,0,0,0.0,0.0,22.714285714285715,28.428571428571427,64.28571428571429,1007.2857142857143
2011-01-23,22,22.0,22,22,0.884037,10.801151,23.0,27.285714285714285,72.85714285714286,1007.1428571428571,0,0.0,0,0,0.5,0.0,23.0,27.285714285714285,72.85714285714286,1007.1428571428571,0,0.0,0,0,0.0,0.0,23.0,27.285714285714285,72.85714285714286,1007.1428571428571
2011-01-30,21,21.0,21,21,0.69617623,10.310189,22.428571428571427,27.714285714285715,71.28571428571429,1008.7142857142857,0,0.0,0,0,0.5,0.0,22.428571428571427,27.714285714285715,71.28571428571429,1008.7142857142857,0,0.0,0,0,0.0,0.0,22.428571428571427,27.714285714285715,71.28571428571429,1008.7142857142857
2011-02-06,17,17.0,17,17,0.30364758,8.346344,24.428571428571427,29.714285714285715,60.142857142857146,1008.1428571428571,0,0.0,0,0,0.5,0.0,24.428571428571427,29.714285714285715,60.142857142857146,1008.1428571428571,0,0.0,0,0,0.0,0.0,24.428571428571427,29.714285714285715,60.142857142857146,1008.1428571428571
2011-02-13,24,24.0,24,24,0.71860653,11.783073,24.0,28.714285714285715,68.57142857142857,1007.5714285714286,0,0.0,0,0,0.5,0.0,24.0,28.714285714285715,68.57142857142857,1007.5714285714286,0,0.0,0,0,0.0,0.0,24.0,28.714285714285715,68.57142857142857,1007.5714285714286
2011-02-20,23,23.0,23,23,0.6673132,11.292112,22.571428571428573,27.571428571428573,73.0,1008.4285714285714,0,0.0,0,0,0.5,0.0,22.571428571428573,27.571428571428573,73.0,1008.4285714285714,0,0.0,0,0,0.0,0.0,22.571428571428573,27.571428571428573,73.0,1008.4285714285714
2011-02-27,34,34.0,34,34,0.942186,16.692688,23.428571428571427,28.857142857142858,70.57142857142857,1007.8571428571429,0,0.0,0,0,0.5,0.0,23.428571428571427,28.857142857142858,70.57142857142857,1007.8571428571429,3,3.0,3,3,0.9872154,7.9036803,23.428571428571427,28.857142857142858,70.57142857142857,1007.8571428571429
2011-03-06,29,29.0,29,29,0.6690049,14.237881,23.428571428571427,29.714285714285715,63.0,878.1428571428571,0,0.0,0,0,0.5,0.0,23.428571428571427,29.714285714285715,63.0,878.1428571428571,0,0.0,0,0,0.0,0.0,23.428571428571427,29.714285714285715,63.0,878.1428571428571
2011-03-13,69,69.0,69,69,0.9999371,33.876335,22.857142857142858,28.714285714285715,69.28571428571429,1007.2857142857143,0,0.0,0,0,0.5,0.0,22.857142857142858,28.714285714285715,69.28571428571429,1007.2857142857143,1,1.0,1,1,0.42020994,2.63456,22.857142857142858,28.714285714285715,69.28571428571429,1007.2857142857143
2011-03-20,69,69.0,69,69,0.99576366,33.876335,23.571428571428573,29.857142857142858,60.42857142857143,1009.0,0,0.0,0,0,0.5,0.0,23.571428571428573,29.857142857142858,60.42857142857143,1009.0,1,1.0,1,1,0.49247628,2.63456,23.571428571428573,29.857142857142858,60.42857142857143,1009.0
2011-03-27,65,65.0,65,65,0.7752217,31.91249,23.857142857142858,29.571428571428573,67.14285714285714,1008.1428571428571,0,0.0,0,0,0.5,0.0,23.857142857142858,29.571428571428573,67.14285714285714,1008.1428571428571,5,5.0,5,5,0.9646647,13.172801,23.857142857142858,29.571428571428573,67.14285714285714,1008.1428571428571
2011-04-03,50,50.0,50,50,0.08843859,24.54807,24.0,30.0,63.57142857142857,1008.7142857142857,0,0.0,0,0,0.5,0.0,24.0,30.0,63.57142857142857,1008.7142857142857,2,2.0,2,2,0.5062204,5.26912,24.0,30.0,63.57142857142857,1008.7142857142857
2011-04-10,75,75.0,75,75,0.8549773,36.822105,23.571428571428573,28.714285714285715,69.85714285714286,1008.5714285714286,0,0.0,0,0,0.5,0.0,23.571428571428573,28.714285714285715,69.85714285714286,1008.5714285714286,5,5.0,5,5,0.76754916,13.172801,23.571428571428573,28.714285714285715,69.85714285714286,1008.5714285714286
2011-04-17,63,63.0,63,63,0.562244,30.930569,23.0,27.857142857142858,75.85714285714286,1007.7142857142857,0,0.0,0,0,0.5,0.0,23.0,27.857142857142858,75.85714285714286,1007.7142857142857,1,1.0,1,1,0.099441364,2.63456,23.0,27.857142857142858,75.85714285714286,1007.7142857142857
2011-04-24,50,50.0,50,50,0.096992254,24.54807,22.857142857142858,27.714285714285715,75.85714285714286,1008.4285714285714,0,0.0,0,0,0.5,0.0,22.857142857142858,27.714285714285715,75.85714285714286,1008.4285714285714,0,0.0,0,0,0.0,0.0,22.857142857142858,27.714285714285715,75.85714285714286,1008.4285714285714
2011-05-01,33,33.0,33,33,0.0022031623,16.201727,23.0,28.714285714285715,71.28571428571429,1008.4285714285714,0,0.0,0,0,0.5,0.0,23.0,28.714285714285715,71.28571428571429,1008.4285714285714,5,5.0,5,5,0.889717,13.172801,23.0,28.714285714285715,71.28571428571429,1008.4285714285714
2011-05-08,38,38.0,38,38,0.10788071,18.656532,23.571428571428573,29.142857142857142,68.28571428571429,1008.5714285714286,0,0.0,0,0,0.5,0.0,23.571428571428573,29.142857142857142,68.28571428571429,1008.5714285714286,0,0.0,0,0,0.0,0.0,23.571428571428573,29.142857142857142,68.28571428571429,1008.5714285714286
2011-05-15,28,28.0,28,28,0.07554558,13.74692,23.285714285714285,28.714285714285715,66.71428571428571,1007.5714285714286,0,0.0,0,0,0.5,0.0,23.285714285714285,28.714285714285715,66.71428571428571,1007.5714285714286,3,3.0,3,3,0.64214927,7.9036803,23.285714285714285,28.714285714285715,66.71428571428571,1007.5714285714286
2011-05-22,22,22.0,22,22,0.05115172,10.801151,23.714285714285715,29.714285714285715,59.714285714285715,1009.2857142857143,0,0.0,0,0,0.5,0.0,23.714285714285715,29.714285714285715,59.714285714285715,1009.2857142857143,1,1.0,1,1,0.25089216,2.63456,23.714285714285715,29.714285714285715,59.714285714285715,1009.2857142857143
2011-05-29,20,20.0,20,20,0.10176602,9.819228,23.714285714285715,29.857142857142858,59.285714285714285,1010.0,0,0.0,0,0,0.5,0.0,23.714285714285715,29.857142857142858,59.285714285714285,1010.0,1,1.0,1,1,0.29465842,2.63456,23.714285714285715,29.857142857142858,59.285714285714285,1010.0
2011-06-05,24,24.0,24,24,0.50629175,11.783073,22.714285714285715,29.714285714285715,53.0,1009.2857142857143,0,0.0,0,0,0.5,0.0,22.714285714285715,29.714285714285715,53.0,1009.2857142857143,0,0.0,0,0,0.0,0.0,22.714285714285715,29.714285714285715,53.0,1009.2857142857143
2011-06-12,12,12.0,12,12,0.047931843,5.8915367,23.571428571428573,29.142857142857142,59.142857142857146,1011.8571428571429,0,0.0,0,0,0.5,0.0,23.571428571428573,29.142857142857142,59.142857142857146,1011.8571428571429,0,0.0,0,0,0.0,0.0,23.571428571428573,29.142857142857142,59.142857142857146,1011.8571428571429
2011-06-19,8,8.0,8,8,0.014091213,3.9276912,23.0,29.571428571428573,53.0,1010.4285714285714,0,0.0,0,0,0.5,0.0,23.0,29.571428571428573,53.0,1010.4285714285714,0,0.0,0,0,0.0,0.0,23.0,29.571428571428573,53.0,1010.4285714285714
2011-06-26,5,5.0,5,5,0.0155767435,2.454807,23.285714285714285,29.285714285714285,58.714285714285715,1010.7142857142857,0,0.0,0,0,0.5,0.0,23.285714285714285,29.285714285714285,58.714285714285715,1010.7142857142857,4,4.0,4,4,0.9900529,10.53824,23.285714285714285,29.285714285714285,58.714285714285715,1010.7142857142857
2011-07-03,4,4.0,4,4,0.076060295,1.9638456,22.857142857142858,28.571428571428573,61.42857142857143,1010.2857142857143,0,0.0,0,0,0.5,0.0,22.857142857142858,28.571428571428573,61.42857142857143,1010.2857142857143,0,0.0,0,0,0.0,0.0,22.857142857142858,28.571428571428573,61.42857142857143,1010.2857142857143
2011-07-10,1,1.0,1,1,0.019112807,0.4909614,23.285714285714285,28.571428571428573,61.714285714285715,1011.5714285714286,0,0.0,0,0,0.5,0.0,23.285714285714285,28.571428571428573,61.714285714285715,1011.5714285714286,1,1.0,1,1,0.31866327,2.63456,23.285714285714285,28.571428571428573,61.714285714285715,1011.5714285714286
2011-07-17,7,7.0,7,7,0.83612794,3.43673,22.142857142857142,27.857142857142858,65.71428571428571,1011.4285714285714,0,0.0,0,0,0.5,0.0,22.142857142857142,27.857142857142858,65.71428571428571,1011.4285714285714,1,1.0,1,1,0.41643232,2.63456,22.142857142857142,27.857142857142858,65.71428571428571,1011.4285714285714
2011-07-24,14,14.0,14,14,0.99282426,6.87346,22.714285714285715,29.0,56.57142857142857,867.5714285714286,0,0.0,0,0,0.5,0.0,22.714285714285715,29.0,56.57142857142857,867.5714285714286,0,0.0,0,0,0.0,0.0,22.714285714285715,29.0,56.57142857142857,867.5714285714286
